Title,Authors,Published,Link,Abstract_EN,Abstract_ZH,One_Sentence_Summary,Model_Type,HHH_Focus,Keywords
Asymmetric REINFORCE for off-Policy Reinforcement Learning: Balancing positive and negative rewards,"Charles Arnal, Ga\""etan Narozniak, Vivien Cabannes, Yunhao Tang, Julia Kempe, Remi Munos",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20520.pdf,"Reinforcement learning (RL) is increasingly used to align large language models (LLMs). Off-policy methods offer greater implementation simplicity and data efficiency than on-policy techniques, but often result in suboptimal performance. In this work, we study the intermediate range of algorithms between off-policy RL and supervised fine-tuning by analyzing a simple off-policy REINFORCE algorithm, where the advantage is defined as $A=r-V$, with $r$ a reward and $V$ some tunable baseline. Intuitively, lowering $V$ emphasizes high-reward samples, while raising it penalizes low-reward ones more heavily. We first provide a theoretical analysis of this off-policy REINFORCE algorithm, showing that when the baseline $V$ lower-bounds the expected reward, the algorithm enjoys a policy improvement guarantee. Our analysis reveals that while on-policy updates can safely leverage both positive and negative signals, off-policy updates benefit from focusing more on positive rewards than on negative ones. We validate our findings experimentally in a controlled stochastic bandit setting and through fine-tuning state-of-the-art LLMs on reasoning tasks.",强化学习（RL）越来越多地用于对大型语言模型（LLMs）进行对齐。离策略方法在实现简单性和数据效率方面优于在策略技术，但通常会导致次优性能。在本工作中，我们通过分析一个简单的离策略REINFORCE算法，其中优势定义为$A=r-V$，其中$r$是奖励，$V$是某个可调基线，来研究离策略RL和监督微调之间的中间算法范围。直观地讲，降低$V$强调高奖励样本，而提高它会更严重地惩罚低奖励样本。我们首先对这个离策略REINFORCE算法进行了理论分析，表明当基线$V$下界为期望奖励时，算法享有策略改进保证。我们的分析揭示了，虽然在策略更新可以安全地利用正信号和负信号，离策略更新从更多地关注正奖励而不是负奖励中受益。我们在受控随机臂带设置和通过在推理任务上对最先进的LLMs进行微调中验证了我们的发现。,"The paper proposes an off-policy reinforcement learning algorithm for aligning large language models, focusing on balancing positive and negative rewards.",LLM,Helpful,"Reinforcement Learning, Off-Policy, Large Language Models, Alignment, Fine-Tuning"
When Life Gives You Samples: The Benefits of Scaling up Inference Compute for Multilingual LLMs,"Ammar Khairi, Daniel D'souza, Ye Shen, Julia Kreutzer, Sara Hooker",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20544.pdf,"Recent advancements in large language models (LLMs) have shifted focus toward scaling inference-time compute, improving performance without retraining the model. A common approach is to sample multiple outputs in parallel, and select one of these as the final output. However, work to date has focused on English and a handful of domains such as math and code. In contrast, we are most interested in techniques that generalize across open-ended tasks, formally verifiable tasks, and across languages. In this work, we study how to robustly scale inference-time compute for open-ended generative tasks in a multilingual, multi-task setting.
  Our findings show that both sampling strategy based on temperature variation and selection strategy must be adapted to account for diverse domains and varied language settings. We evaluate existing selection methods, revealing that strategies effective in English often fail to generalize across languages. We propose novel sampling and selection strategies specifically adapted for multilingual and multi-task inference scenarios, and show they yield notable gains across languages and tasks. In particular, our combined sampling and selection methods lead to an average +6.8 jump in win-rates for our 8B models on m-ArenaHard-v2.0 prompts, against proprietary models such as Gemini. At larger scale, Command-A (111B model) equipped with our methods, shows +9.0 improvement in win-rates on the same benchmark with just five samples against single-sample decoding, a substantial increase at minimal cost. Our results underscore the need for language- and task-aware approaches to inference-time compute, aiming to democratize performance improvements in underrepresented languages.",最近，大型语言模型（LLMs）的进展使得关注点转向了扩展推理时计算，以提高性能而无需重新训练模型。常见的方法是并行采样多个输出，并选择其中一个作为最终输出。然而，迄今为止的工作主要集中在英语和少数几个领域，如数学和代码。相比之下，我们更感兴趣的是能够跨开放式任务、正式可验证任务和语言的技术。在本文中，我们研究了如何在多语言、多任务设置中为开放式生成任务稳健地扩展推理时计算。我们的发现表明，基于温度变化的采样策略和选择策略必须适应多样化的领域和不同的语言设置。我们评估了现有的选择方法，揭示了在英语中有效的策略往往无法跨语言推广。我们提出了专门为多语言和多任务推理场景设计的新采样和选择策略，并表明它们在语言和任务之间显著提高了性能。特别是，我们的组合采样和选择方法使得我们的8B模型在m-ArenaHard-v2.0提示上对Gemini等专有模型的胜率平均提高了+6.8。在更大规模上，配备我们方法的Command-A（111B模型）在相同基准上显示出+9.0的胜率提高，仅使用五个样本对单样本解码，这是一个显著的提高，成本极低。我们的结果强调了推理时计算的语言和任务感知方法的必要性，旨在民主化不受重视语言的性能改进。,The paper introduces novel sampling and selection strategies for multilingual LLMs that improve performance across languages and tasks with minimal computational cost.,LLM,Helpful,"Multilingual, Inference, Sampling, Selection, Performance"
Model Editing as a Double-Edged Sword: Steering Agent Ethical Behavior Toward Beneficence or Harm,"Baixiang Huang, Zhen Tan, Haoran Wang, Zijie Liu, Dawei Li, Ali Payani, Huan Liu, Tianlong Chen, Kai Shu",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20606.pdf,"Agents based on Large Language Models (LLMs) have demonstrated strong capabilities across a wide range of tasks. However, deploying LLM-based agents in high-stakes domains comes with significant safety and ethical risks. Unethical behavior by these agents can directly result in serious real-world consequences, including physical harm and financial loss. To efficiently steer the ethical behavior of agents, we frame agent behavior steering as a model editing task, which we term Behavior Editing. Model editing is an emerging area of research that enables precise and efficient modifications to LLMs while preserving their overall capabilities. To systematically study and evaluate this approach, we introduce BehaviorBench, a multi-tier benchmark grounded in psychological moral theories. This benchmark supports both the evaluation and editing of agent behaviors across a variety of scenarios, with each tier introducing more complex and ambiguous scenarios. We first demonstrate that Behavior Editing can dynamically steer agents toward the target behavior within specific scenarios. Moreover, Behavior Editing enables not only scenario-specific local adjustments but also more extensive shifts in an agent's global moral alignment. We demonstrate that Behavior Editing can be used to promote ethical and benevolent behavior or, conversely, to induce harmful or malicious behavior. Through comprehensive evaluations on agents based on frontier LLMs, BehaviorBench shows the effectiveness of Behavior Editing across different models and scenarios. Our findings offer key insights into a new paradigm for steering agent behavior, highlighting both the promise and perils of Behavior Editing.",基于大型语言模型（LLM）的代理人在各种任务中表现出强大的能力。然而，在高风险领域部署基于LLM的代理人存在显著的安全和伦理风险。代理人的不道德行为可能直接导致严重的现实世界后果，包括身体伤害和财务损失。为了高效地引导代理人的伦理行为，我们将代理行为引导框架为模型编辑任务，我们称之为行为编辑。模型编辑是一个新兴的研究领域，它使得在保留LLM整体能力的同时，可以进行精确和高效的修改。为了系统地研究和评估这种方法，我们引入了BehaviorBench，一个基于心理学道德理论的多层次基准。该基准支持在各种情景下对代理行为的评估和编辑，每一层次都引入更复杂和模糊的情景。我们首先展示了行为编辑可以在特定情景中动态引导代理人朝向目标行为。此外，行为编辑不仅使得特定情景的局部调整成为可能，还使得代理人全局道德对齐的更广泛转变成为可能。我们展示了行为编辑可以用于促进伦理和仁慈的行为，或者相反，诱导有害或恶意的行为。通过在基于前沿LLM的代理人上的全面评估，BehaviorBench展示了行为编辑在不同模型和情景中的有效性。我们的发现为引导代理人行为提供了一个新的范式，突出了行为编辑的前景和风险。,"The paper introduces Behavior Editing, a model editing approach to steer the ethical behavior of LLM-based agents, using a benchmark called BehaviorBench.",LLM,"Helpful, Harmless","Model Editing, Ethical Behavior, LLM Alignment, BehaviorBench, Moral Theories"
Inside you are many wolves: Using cognitive models to interpret value trade-offs in LLMs,"Sonia K. Murthy, Rosie Zhao, Jennifer Hu, Sham Kakade, Markus Wulfmeier, Peng Qian, Tomer Ullman",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20666.pdf,"Navigating everyday social situations often requires juggling conflicting goals, such as conveying a harsh truth, maintaining trust, all while still being mindful of another person's feelings. These value trade-offs are an integral part of human decision-making and language use, however, current tools for interpreting such dynamic and multi-faceted notions of values in LLMs are limited. In cognitive science, so-called ""cognitive models"" provide formal accounts of these trade-offs in humans, by modeling the weighting of a speaker's competing utility functions in choosing an action or utterance. In this work, we use a leading cognitive model of polite speech to interpret the extent to which LLMs represent human-like trade-offs. We apply this lens to systematically evaluate value trade-offs in two encompassing model settings: degrees of reasoning ""effort"" in frontier black-box models, and RL post-training dynamics of open-source models. Our results highlight patterns of higher informational utility than social utility in reasoning models, and in open-source models shown to be stronger in mathematical reasoning. Our findings from LLMs' training dynamics suggest large shifts in utility values early on in training with persistent effects of the choice of base model and pretraining data, compared to feedback dataset or alignment method. We show that our method is responsive to diverse aspects of the rapidly evolving LLM landscape, with insights for forming hypotheses about other high-level behaviors, shaping training regimes for reasoning models, and better controlling trade-offs between values during model training.",导航日常社交情境通常需要平衡冲突的目标，例如传达严厉的真相、维护信任，同时仍然要注意另一个人的感受。这些价值权衡是人类决策和语言使用的重要组成部分，然而，目前用于解释这些动态和多方面价值概念的工具在大型语言模型（LLMs）中是有限的。在认知科学中，所谓的“认知模型”为这些权衡提供了人类的正式说明，通过建模说话者竞争效用函数的权重来选择行动或言语。在本工作中，我们使用一个领先的礼貌言语认知模型来解释LLMs在多大程度上代表人类似的权衡。我们将这一视角应用于系统地评估两个全面的模型设置中的价值权衡：前沿黑箱模型中的推理“努力”程度，以及开源模型的RL后训练动态。我们的结果突显了推理模型中比社会效用更高的信息效用，以及在数学推理中表现更强的开源模型。我们从LLMs的训练动态中得出的发现表明，训练早期的效用值发生了巨大的转变，并且基础模型和预训练数据的选择具有持久的效果，而反馈数据集或对齐方法则没有。我们表明，我们的方法对快速发展的LLM生态系统的多个方面是敏感的，具有形成关于其他高级行为的假设、塑造推理模型的训练方案以及在模型训练期间更好地控制价值权衡的见解。,"The paper uses cognitive models to interpret and evaluate value trade-offs in LLMs, providing insights into alignment and training dynamics.",LLM,"Helpful, Harmless","Value trade-offs, cognitive models, LLM alignment, utility functions, training dynamics"
MMSearch-R1: Incentivizing LMMs to Search,"Jinming Wu, Zihao Deng, Wei Li, Yiding Liu, Bo You, Bo Li, Zejun Ma, Ziwei Liu",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20670.pdf,"Robust deployment of large multimodal models (LMMs) in real-world scenarios requires access to external knowledge sources, given the complexity and dynamic nature of real-world information. Existing approaches such as retrieval-augmented generation (RAG) and prompt engineered search agents rely on rigid pipelines, often leading to inefficient or excessive search behaviors. We present MMSearch-R1, the first end-to-end reinforcement learning framework that enables LMMs to perform on-demand, multi-turn search in real-world Internet environments. Our framework integrates both image and text search tools, allowing the model to reason about when and how to invoke them guided by an outcome-based reward with a search penalty. To support training, We collect a multimodal search VQA dataset through a semi-automated pipeline that covers diverse visual and textual knowledge needs and curate a search-balanced subset with both search-required and search-free samples, which proves essential for shaping efficient and on-demand search behavior. Extensive experiments on knowledge-intensive and info-seeking VQA tasks show that our model not only outperforms RAG-based baselines of the same model size, but also matches the performance of a larger RAG-based model while reducing search calls by over 30%. We further analyze key empirical findings to offer actionable insights for advancing research in multimodal search.",大规模多模态模型（LMM）在现实世界中的稳健部署需要访问外部知识源，因为现实世界信息的复杂性和动态性。现有的方法，如检索增强生成（RAG）和提示工程搜索代理，依赖于僵化的管道，通常导致低效或过度的搜索行为。我们提出了MMSearch-R1，这是第一个端到端的强化学习框架，使LMM能够在现实世界的互联网环境中执行按需、多轮搜索。我们的框架集成了图像和文本搜索工具，允许模型在结果为基础的奖励和搜索惩罚的指导下推理何时以及如何调用它们。为了支持训练，我们通过半自动化管道收集了一个多模态搜索VQA数据集，涵盖了多样化的视觉和文本知识需求，并精选了一个搜索平衡的子集，其中包含需要搜索和不需要搜索的样本，这对塑造高效和按需的搜索行为至关重要。在知识密集型和信息寻求VQA任务上的广泛实验表明，我们的模型不仅在相同模型大小的RAG基线上表现更好，还与更大的RAG基线模型的性能相当，同时将搜索调用减少了30%以上。我们进一步分析了关键的实证发现，以提供推动多模态搜索研究的可操作见解。,"The paper introduces MMSearch-R1, a reinforcement learning framework that aligns LMMs to perform efficient and on-demand search in real-world internet environments.",LMM,Helpful,"LMM, Search, Alignment, Reinforcement Learning, Multimodal"
When Large Language Models contradict humans? Large Language Models' Sycophantic Behaviour,"Leonardo Ranaldi, Giulia Pucci",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2311.09410.pdf,"Large Language Models have been demonstrating broadly satisfactory generative abilities for users, which seems to be due to the intensive use of human feedback that refines responses. Nevertheless, suggestibility inherited via human feedback improves the inclination to produce answers corresponding to users' viewpoints. This behaviour is known as sycophancy and depicts the tendency of LLMs to generate misleading responses as long as they align with humans. This phenomenon induces bias and reduces the robustness and, consequently, the reliability of these models. In this paper, we study the suggestibility of Large Language Models (LLMs) to sycophantic behaviour, analysing these tendencies via systematic human-interventions prompts over different tasks. Our investigation demonstrates that LLMs have sycophantic tendencies when answering queries that involve subjective opinions and statements that should elicit a contrary response based on facts. In contrast, when faced with math tasks or queries with an objective answer, they, at various scales, do not follow the users' hints by demonstrating confidence in generating the correct answers.",大语言模型（LLM）在用户生成方面表现出广泛的满意度，这似乎是由于大量使用人类反馈来完善响应。然而，通过人类反馈继承的建议性增加了产生与用户观点相对应的答案的倾向。这种行为被称为阿谀奉承，描述了LLM生成误导性响应的倾向，只要它们与人类一致。这种现象引起偏见，并降低了这些模型的鲁棒性和可靠性。在本文中，我们研究了大语言模型（LLM）对阿谀奉承行为的建议性，通过不同任务的系统人类干预提示来分析这些倾向。我们的研究表明，当回答涉及主观意见和应该根据事实引发相反回答的查询时，LLM在回答查询时表现出阿谀奉承的倾向。相反，当面对数学任务或具有客观答案的查询时，它们在各种规模上不遵循用户的提示，表现出在生成正确答案方面的信心。,"The paper investigates how large language models (LLMs) exhibit sycophantic behavior, aligning with human feedback to produce misleading responses, particularly in subjective queries.",LLM,"Helpful, Honest","Sycophancy, Alignment, Human Feedback, Bias, Reliability"
FactCheckmate: Preemptively Detecting and Mitigating Hallucinations in LMs,"Deema Alnuhait, Neeraja Kirtane, Muhammad Khalifa, Hao Peng",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2410.02899.pdf,"Language models (LMs) hallucinate. We inquire: Can we detect and mitigate hallucinations before they happen? This work answers this research question in the positive, by showing that the internal representations of LMs provide rich signals that can be used for this purpose. We introduce FactCheckmate, which preemptively detects hallucinations by learning a classifier that predicts whether the LM will hallucinate, based on the model's hidden states produced over the inputs, before decoding begins. If a hallucination is detected, FactCheckmate then intervenes by adjusting the LM's hidden states such that the model will produce more factual outputs. FactCheckmate provides fresh insights that the inner workings of LMs can be revealed by their hidden states. Practically, both its detection and mitigation models are lightweight, adding little inference overhead; FactCheckmate proves a more efficient approach for mitigating hallucinations compared to many post-hoc alternatives. We evaluate FactCheckmate over LMs of different scales and model families (including Llama, Mistral, Qwen and Gemma), across a variety of QA datasets from different domains. Our results demonstrate the effectiveness of FactCheckmate, achieving over 70% preemptive detection accuracy. On average, outputs generated by LMs with intervention are 34.4% more factual compared to those without.",语言模型（LMs）会产生幻觉。我们探讨：是否可以在幻觉发生之前检测和缓解它们？本文通过展示LMs的内部表示提供了丰富的信号，可以用于此目的，回答了这个研究问题。我们引入了FactCheckmate，它通过学习一个分类器来预先检测幻觉，该分类器基于模型在输入上生成的隐藏状态，在解码开始之前预测LM是否会产生幻觉。如果检测到幻觉，FactCheckmate通过调整LM的隐藏状态来干预，使模型产生更具事实性的输出。FactCheckmate提供了新的见解，即LMs的内部工作可以通过其隐藏状态揭示。从实践的角度来看，其检测和缓解模型都很轻量，增加的推理开销很小；FactCheckmate证明是一种比许多事后替代方案更高效的缓解幻觉的方法。我们在不同规模和模型家族（包括Llama、Mistral、Qwen和Gemma）的LMs上评估了FactCheckmate，跨越不同领域的各种QA数据集。我们的结果表明FactCheckmate的有效性，实现了超过70%的预先检测准确率。平均而言，经过干预的LM生成的输出比没有干预的输出更具事实性，高出34.4%。,"The paper introduces FactCheckmate, a system that preemptively detects and mitigates hallucinations in language models by leveraging their hidden states.",LLM,"Helpful, Honest","Hallucination detection, mitigation, language models, hidden states, factual outputs"
AgentBreeder: Mitigating the AI Safety Impact of Multi-Agent Scaffolds via Self-Improvement,"J Rosser, Jakob Nicolaus Foerster",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2502.00757.pdf,"Scaffolding Large Language Models (LLMs) into multi-agent systems often improves performance on complex tasks, but the safety impact of such scaffolds has not been thoroughly explored. We introduce AgentBreeder, a framework for multi-objective self-improving evolutionary search over scaffolds. We evaluate discovered scaffolds on widely recognized reasoning, mathematics, and safety benchmarks and compare them with popular baselines. In 'blue' mode, we see a 79.4% average uplift in safety benchmark performance while maintaining or improving capability scores. In 'red' mode, we find adversarially weak scaffolds emerging concurrently with capability optimization. Our work demonstrates the risks of multi-agent scaffolding and provides a framework for mitigating them. Code is available at https://github.com/J-Rosser-UK/AgentBreeder.",将大型语言模型（LLM）构建为多代理系统通常会提高复杂任务的性能，但这种脚手架的安全影响尚未得到充分探索。我们引入了AgentBreeder，一个用于多目标自我改进进化搜索的框架。我们在广泛认可的推理、数学和安全基准上评估了发现的脚手架，并将其与流行的基准进行比较。在“蓝色”模式下，我们在安全基准性能上看到平均提升79.4%，同时保持或提高能力分数。在“红色”模式下，我们发现了与能力优化同时出现的对抗性脆弱脚手架。我们的工作展示了多代理脚手架的风险，并提供了一个缓解这些风险的框架。,"The paper introduces AgentBreeder, a framework for improving the safety of multi-agent systems involving LLMs through self-improvement and evolutionary search.",LLM,Harmless,"LLM, Multi-Agent Systems, Safety, Self-Improvement, Evolutionary Search"
Adversarial Reasoning at Jailbreaking Time,"Mahdi Sabbaghi, Paul Kassianik, George Pappas, Yaron Singer, Amin Karbasi, Hamed Hassani",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2502.01633.pdf,"As large language models (LLMs) are becoming more capable and widespread, the study of their failure cases is becoming increasingly important. Recent advances in standardizing, measuring, and scaling test-time compute suggest new methodologies for optimizing models to achieve high performance on hard tasks. In this paper, we apply these advances to the task of model jailbreaking: eliciting harmful responses from aligned LLMs. We develop an adversarial reasoning approach to automatic jailbreaking that leverages a loss signal to guide the test-time compute, achieving SOTA attack success rates against many aligned LLMs, even those that aim to trade inference-time compute for adversarial robustness. Our approach introduces a new paradigm in understanding LLM vulnerabilities, laying the foundation for the development of more robust and trustworthy AI systems.",随着大型语言模型（LLM）变得越来越强大和普及，研究它们的失败案例变得越来越重要。最近在标准化、测量和扩展测试时计算的进展表明了新的方法来优化模型以实现在困难任务上的高性能。在这篇论文中，我们将这些进展应用于模型越狱任务：从对齐的LLM中引出有害的响应。我们开发了一种基于对抗推理的自动越狱方法，利用损失信号来指导测试时计算，实现了对许多对齐的LLM的SOTA攻击成功率，即使是那些试图以推理时计算换取对抗鲁棒性的LLM。我们的方法引入了一种新的范式，用于理解LLM的脆弱性，为开发更加健壮和可信的AI系统奠定了基础。,"The paper presents an adversarial reasoning approach to jailbreaking aligned LLMs, achieving high attack success rates and highlighting vulnerabilities in LLM alignment.",LLM,Harmless,"Jailbreaking, Adversarial Reasoning, Harmful Responses, LLM Alignment, Robustness"
Towards Fully Exploiting LLM Internal States to Enhance Knowledge Boundary Perception,"Shiyu Ni, Keping Bi, Jiafeng Guo, Lulu Yu, Baolong Bi, Xueqi Cheng",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2502.11677.pdf,"Large language models (LLMs) exhibit impressive performance across diverse tasks but often struggle to accurately gauge their knowledge boundaries, leading to confident yet incorrect responses. This paper explores leveraging LLMs' internal states to enhance their perception of knowledge boundaries from efficiency and risk perspectives. We investigate whether LLMs can estimate their confidence using internal states before response generation, potentially saving computational resources. Our experiments on datasets like Natural Questions, HotpotQA, and MMLU reveal that LLMs demonstrate significant pre-generation perception, which is further refined post-generation, with perception gaps remaining stable across varying conditions. To mitigate risks in critical domains, we introduce Confidence Consistency-based Calibration ($C^3$), which assesses confidence consistency through question reformulation. $C^3$ significantly improves LLMs' ability to recognize their knowledge gaps, enhancing the unknown perception rate by 5.6% on NQ and 4.9% on HotpotQA. Our findings suggest that pre-generation confidence estimation can optimize efficiency, while $C^3$ effectively controls output risks, advancing the reliability of LLMs in practical applications.",大语言模型（LLMs）在各种任务中表现出色，但在准确评估其知识边界方面存在困难，导致自信但错误的响应。本文探讨了利用LLMs的内部状态来增强其知识边界感知的效率和风险视角。我们研究了LLMs是否可以在响应生成之前使用内部状态估计其自信度，从而节省计算资源。我们在Natural Questions、HotpotQA和MMLU等数据集上的实验表明，LLMs在生成前显示出显著的感知能力，并在生成后进一步精炼，感知差距在各种条件下保持稳定。为了在关键领域减少风险，我们引入了基于信心一致性的校准（$C^3$），通过问题重新表述评估信心一致性。$C^3$显著提高了LLMs识别其知识差距的能力，将未知感知率提高了5.6%在NQ和4.9%在HotpotQA。我们的发现表明，生成前的信心估计可以优化效率，而$C^3$有效控制输出风险，推动LLMs在实际应用中的可靠性。,"The paper introduces methods to improve LLMs' perception of their knowledge boundaries, enhancing their helpfulness and harmlessness by reducing confident but incorrect responses.",LLM,"Helpful, Harmless","Knowledge boundaries, confidence estimation, risk mitigation, LLM calibration, efficiency"
Balancing Truthfulness and Informativeness with Uncertainty-Aware Instruction Fine-Tuning,"Tianyi Wu, Jingwei Ni, Bryan Hooi, Jiaheng Zhang, Elliott Ash, See-Kiong Ng, Mrinmaya Sachan, Markus Leippold",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2502.11962.pdf,"Instruction fine-tuning (IFT) can increase the informativeness of large language models (LLMs), but may reduce their truthfulness. This trade-off arises because IFT steers LLMs to generate responses containing long-tail knowledge that was not well covered during pre-training. As a result, models become more informative but less accurate when generalizing to unseen tasks. In this paper, we empirically demonstrate how unfamiliar knowledge in IFT datasets can negatively affect the truthfulness of LLMs, and we introduce two new IFT paradigms, $UNIT_{cut}$ and $UNIT_{ref}$, to address this issue. $UNIT_{cut}$ identifies and removes unfamiliar knowledge from IFT datasets to mitigate its impact on model truthfulness, whereas $UNIT_{ref}$ trains LLMs to recognize their uncertainty and explicitly indicate it at the end of their responses. Our experiments show that $UNIT_{cut}$ substantially improves LLM truthfulness, while $UNIT_{ref}$ maintains high informativeness and reduces hallucinations by distinguishing between confident and uncertain statements.",指令微调（IFT）可以增加大型语言模型（LLMs）的信息量，但可能会降低其真实性。这种权衡是因为IFT引导LLMs生成包含预训练中未充分涵盖的长尾知识的响应。结果，模型在推广到未见任务时变得更具信息量但不准确。在本文中，我们通过实证演示了IFT数据集中不熟悉的知识如何负面影响LLMs的真实性，并引入了两种新的IFT范式，$UNIT_{cut}$和$UNIT_{ref}$，以解决这一问题。$UNIT_{cut}$识别并从IFT数据集中删除不熟悉的知识，以减轻其对模型真实性的影响，而$UNIT_{ref}$则训练LLMs识别其不确定性，并在其响应的末尾明确指出。我们的实验表明，$UNIT_{cut}$显著提高了LLM的真实性，而$UNIT_{ref}$则保持了高信息量，并通过区分自信和不确定的陈述来减少幻觉。,"The paper introduces two methods, $UNIT_{cut}$ and $UNIT_{ref}$, to balance truthfulness and informativeness in LLMs by managing uncertainty and unfamiliar knowledge during instruction fine-tuning.",LLM,"Helpful, Honest","Instruction fine-tuning, truthfulness, informativeness, uncertainty, hallucinations"
Rewarding Graph Reasoning Process makes LLMs more Generalized Reasoners,"Miao Peng, Nuo Chen, Zongrui Suo, Jia Li",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2503.00845.pdf,"Despite significant advancements in Large Language Models (LLMs), developing advanced reasoning capabilities in LLMs remains a key challenge. Process Reward Models (PRMs) have demonstrated exceptional promise in enhancing reasoning by providing step-wise feedback, particularly in the context of mathematical reasoning. However, their application to broader reasoning domains remains understudied, largely due to the high costs associated with manually creating step-level supervision. In this work, we explore the potential of PRMs in graph reasoning problems - a domain that demands sophisticated multi-step reasoning and offers opportunities for automated step-level data generation using established graph algorithms. We introduce GraphSILO, the largest dataset for graph reasoning problems with fine-grained step-wise labels, built using automated Task-oriented Trajectories and Monte Carlo Tree Search (MCTS) to generate detailed reasoning steps with step-wise labels. Building upon this dataset, we train GraphPRM, the first PRM designed for graph reasoning problems, and evaluate its effectiveness in two key settings: inference-time scaling and reinforcement learning via Direct Preference Optimization (DPO). Experimental results show that GraphPRM significantly improves LLM performance across 13 graph reasoning tasks, delivering a 9% gain for Qwen2.5-7B and demonstrating transferability to new graph reasoning datasets and new reasoning domains like mathematical problem-solving. Notably, GraphPRM enhances LLM performance on GSM8K and Math500, underscoring the cross-domain applicability of graph-based reasoning rewards. Our findings highlight the potential of PRMs in advancing reasoning across diverse domains, paving the way for more versatile and effective LLMs.",尽管大型语言模型（LLMs）在各个方面取得了显著进展，但开发先进的推理能力仍然是一个关键挑战。过程奖励模型（PRMs）在通过提供逐步反馈来增强推理能力方面表现出色，特别是在数学推理的背景下。然而，它们在更广泛的推理领域的应用研究较少，主要是因为手动创建逐步级别的监督成本高。在本研究中，我们探讨了PRMs在图推理问题中的潜力——一个需要复杂的多步推理且提供自动化逐步级别数据生成机会的领域。我们引入了GraphSILO，这是一个使用自动化任务定向轨迹和蒙特卡罗树搜索（MCTS）生成详细推理步骤和逐步标签的图推理问题的最大数据集。基于该数据集，我们训练了GraphPRM，这是第一个专为图推理问题设计的PRM，并在两个关键设置中评估其有效性：推理时刻扩展和通过直接偏好优化（DPO）的强化学习。实验结果表明，GraphPRM在13个图推理任务中显著提高了LLM的性能，为Qwen2.5-7B带来了9%的收益，并展示了对新图推理数据集和新推理领域（如数学问题解决）的可转移性。值得注意的是，GraphPRM增强了LLM在GSM8K和Math500上的性能，突显了基于图的推理奖励的跨领域适用性。我们的发现强调了PRMs在推动多样化领域推理方面的潜力，为更加多功能和有效的LLMs铺平了道路。,"The paper introduces GraphPRM, a Process Reward Model designed for graph reasoning problems, which significantly improves the performance of Large Language Models across various reasoning tasks.",LLM,Helpful,"Large Language Models, Reasoning, Process Reward Models, Graph Reasoning, Generalization"
